order_id,order_date,region,channel,product_id,product_name,category,unit_price,quantity,discount,customer_id,payment_method
O2024000056,2024-04-22,North,Online,P1001,Wireless Mouse,Electronics,26.16,1,0.05,C10698,Pix
O2024000057,2024-04-22,West,Online,P1012,Webcam,Electronics,39.5,8,0.15,C10854,Bank Transfer
O2024000058,2024-08-11,South,Online,P1004,27-inch Monitor,Electronics,195.6,6,0.0,C15249,Credit Card
O2024000059,2024-02-22,East,Online,P1010,Backpack,Lifestyle,45.0,2,0.05,C15791,Debit Card
O2024000060,2024-07-16,North,Wholesale,P1002,Mechanical Keyboard,Electronics,72.63,1,0.2,C14931,Debit Card
O2024000061,2024-07-21,North,Store,P1011,Bluetooth Speaker,Electronics,61.71,2,0.2,C18958,Debit Card
O2024000062,2024-10-20,West,Online,P1015,Laptop Stand,Home Office,29.6,2,0.1,C12931,Debit Card
O2024000063,2024-04-07,Central,Store,P1010,Backpack,Lifestyle,44.52,3,0.0,C11930,Bank Transfer
O2024000064,2024-08-27,Central,Store,P1006,Ergonomic Chair,Home Office,247.25,4,0.0,C19339,Debit Card
O2024000065,2024-07-05,East,Online,P1007,Notebook Pack,Stationery,12.5,1,0.0,C19986,Pix
O2024000066,2024-05-27,West,Online,P1013,Coffee Mug,Lifestyle,11.78,2,0.0,C16546,Credit Card
O2024000067,2024-12-11,West,Store,P1010,Backpack,Lifestyle,45.44,2,0.0,C18338,Credit Card
O2024000068,2024-05-27,Central,Online,P1005,Desk Lamp,Home Office,33.85,3,0.0,C11843,Pix
O2024000069,2024-05-07,North,Marketplace,P1006,Ergonomic Chair,Home Office,247.35,2,0.0,C14736,Debit Card
O2024000070,2024-09-23,West,Marketplace,P1012,Webcam,Electronics,38.71,2,0.0,C16616,Credit Card
O2024000071,2024-05-30,Central,Online,P1011,Bluetooth Speaker,Electronics,58.1,2,0.0,C10262,Debit Card
O2024000072,2024-09-08,East,Online,P1002,Mechanical Keyboard,Electronics,79.9,1,0.15,C18815,Debit Card
O2024000073,2024-02-29,East,Online,P1004,27-inch Monitor,Electronics,189.9,1,0.15,C15423,Pix
O2024000074,2024-09-10,South,Store,P1014,Planner 2024,Stationery,15.65,5,0.0,C13108,Bank Transfer
O2024000075,2024-06-08,East,Wholesale,P1014,Planner 2024,Stationery,13.41,3,0.0,C17400,Credit Card
O2024000076,2024-04-08,West,Marketplace,P1001,Wireless Mouse,Electronics,25.13,3,0.0,C12255,Pix
O2024000077,2024-05-10,South,Store,P1005,Desk Lamp,Home Office,36.67,5,0.0,C16197,Bank Transfer
O2024000078,2024-04-29,Central,Store,P1009,Water Bottle,Lifestyle,15.73,5,0.0,C11648,Credit Card
O2024000079,2024-04-13,North,Wholesale,P1012,Webcam,Electronics,36.27,3,0.0,C12557,Credit Card
O2024000080,2024-04-08,East,Store,P1003,USB-C Cable,Electronics,10.1,8,0.05,C12961,Debit Card
O2024000081,2024-12-31,North,Online,P1015,Laptop Stand,Home Office,30.2,2,0.2,C12869,Credit Card
O2024000082,2024-06-11,East,Online,P1004,27-inch Monitor,Electronics,189.9,3,0.15,C18352,Credit Card
O2024000083,2024-03-08,East,Marketplace,P1015,Laptop Stand,Home Office,29.3,1,0.2,C19492,Bank Transfer
O2024000084,2024-10-30,Central,Store,P1015,Laptop Stand,Home Office,29.58,4,0.0,C16015,Debit Card
O2024000085,2024-05-14,South,Marketplace,P1001,Wireless Mouse,Electronics,26.14,3,0.0,C14735,Pix
O2024000086,2024-02-02,West,Marketplace,P1014,Planner 2024,Stationery,14.46,2,0.15,C19146,Debit Card
O2024000087,2024-01-22,East,Online,P1012,Webcam,Electronics,39.9,1,0.0,C13436,Bank Transfer
O2024000088,2024-02-20,North,Marketplace,P1004,27-inch Monitor,Electronics,187.96,5,0.0,C13354,Bank Transfer
O2024000089,2024-01-27,East,Online,P1013,Coffee Mug,Lifestyle,11.9,4,0.2,C14893,Debit Card
O2024000090,2024-04-06,South,Online,P1004,27-inch Monitor,Electronics,195.6,3,0.05,C19151,Pix
O2024000091,2024-11-12,East,Marketplace,P1013,Coffee Mug,Lifestyle,11.66,2,0.0,C17683,Pix
O2024000092,2024-02-04,Central,Online,P1014,Planner 2024,Stationery,14.45,4,0.1,C17679,Pix
O2024000093,2024-01-17,North,Online,P1005,Desk Lamp,Home Office,35.25,10,0.0,C12205,Pix
O2024000094,2024-02-15,North,Online,P1007,Notebook Pack,Stationery,12.62,6,0.0,C11060,Pix
O2024000095,2024-10-06,West,Store,P1009,Water Bottle,Lifestyle,16.06,2,0.0,C10301,Bank Transfer
O2024000096,2024-06-29,Central,Online,P1001,Wireless Mouse,Electronics,25.12,3,0.15,C10699,Bank Transfer
O2024000097,2024-04-25,North,Store,P1013,Coffee Mug,Lifestyle,12.26,1,0.1,C10980,Debit Card
O2024000098,2024-06-09,East,Store,P1011,Bluetooth Speaker,Electronics,61.1,1,0.0,C18319,Pix
O2024000099,2024-01-18,North,Store,P1005,Desk Lamp,Home Office,35.95,2,0.1,C15854,Pix
O2024000100,2024-02-23,West,Online,P1012,Webcam,Electronics,39.5,3,0.0,C11895,Debit Card
O2024000101,2024-06-22,South,Store,P1007,Notebook Pack,Stationery,13.13,1,0.15,C17455,Debit Card
O2024000102,2024-12-07,Central,Store,P1007,Notebook Pack,Stationery,12.37,2,0.1,C17806,Credit Card
O2024000103,2024-06-03,East,Online,P1007,Notebook Pack,Stationery,12.5,1,0.2,C10784,Pix
O2024000104,2024-04-13,West,Store,P1011,Bluetooth Speaker,Electronics,60.49,3,0.0,C17343,Bank Transfer
O2024000105,2024-02-08,South,Store,P1005,Desk Lamp,Home Office,36.67,1,0.1,C12806,Pix
O2024000106,2024-01-26,North,Marketplace,P1013,Coffee Mug,Lifestyle,11.78,4,0.0,C18716,Pix
O2024000107,2024-11-11,South,Marketplace,P1003,USB-C Cable,Electronics,9.99,2,0.0,C17992,Credit Card
O2024000108,2024-02-05,South,Wholesale,P1010,Backpack,Lifestyle,41.72,4,0.2,C12368,Credit Card
O2024000109,2024-09-20,West,Store,P1011,Bluetooth Speaker,Electronics,60.49,3,0.1,C14495,Debit Card
O2024000110,2024-05-21,West,Store,P1004,27-inch Monitor,Electronics,191.76,5,0.0,C16614,Credit Card
O2024000111,2024-05-22,North,Marketplace,P1004,27-inch Monitor,Electronics,187.96,2,0.0,C15919,Bank Transfer
O2024000112,2024-08-02,North,Store,P1015,Laptop Stand,Home Office,30.8,3,0.2,C14146,Credit Card
O2024000113,2024-06-01,West,Online,P1008,Ballpoint Pen Set,Stationery,8.32,1,0.15,C11148,Pix
O2024000114,2024-05-29,West,Store,P1012,Webcam,Electronics,40.29,3,0.1,C17509,Bank Transfer
O2024000115,2024-10-31,Central,Store,P1003,USB-C Cable,Electronics,9.8,1,0.15,C13854,Bank Transfer
O2024000116,2024-02-23,West,Online,P1004,27-inch Monitor,Electronics,188.0,2,0.2,C13124,Pix
O2024000117,2024-02-29,Central,Store,P1004,27-inch Monitor,Electronics,187.89,1,0.0,C10004,Bank Transfer
O2024000118,2024-04-12,North,Store,P1004,27-inch Monitor,Electronics,195.63,1,0.0,C10876,Pix
O2024000119,2024-12-15,East,Marketplace,P1002,Mechanical Keyboard,Electronics,78.3,2,0.0,C16966,Debit Card
O2024000120,2024-11-03,South,Online,P1003,USB-C Cable,Electronics,10.2,1,0.15,C14465,Debit Card
O2024000121,2024-05-03,North,Store,P1006,Ergonomic Chair,Home Office,257.45,3,0.1,C19874,Bank Transfer
O2024000122,2024-05-24,West,Online,P1014,Planner 2024,Stationery,14.75,2,0.05,C15177,Bank Transfer
O2024000123,2024-12-11,Central,Wholesale,P1001,Wireless Mouse,Electronics,22.61,1,0.2,C18308,Bank Transfer
O2024000124,2024-11-13,West,Online,P1006,Ergonomic Chair,Home Office,247.4,5,0.0,C17560,Bank Transfer
O2024000125,2024-05-08,West,Store,P1012,Webcam,Electronics,40.29,1,0.1,C10512,Debit Card
O2024000126,2024-08-26,West,Online,P1007,Notebook Pack,Stationery,12.38,1,0.05,C17805,Credit Card
O2024000127,2024-04-27,West,Online,P1011,Bluetooth Speaker,Electronics,59.3,3,0.2,C17404,Bank Transfer
O2024000128,2024-09-28,South,Marketplace,P1015,Laptop Stand,Home Office,30.18,2,0.0,C19662,Credit Card
O2024000129,2024-03-09,West,Store,P1011,Bluetooth Speaker,Electronics,60.49,3,0.0,C18130,Credit Card
O2024000130,2024-03-16,West,Online,P1008,Ballpoint Pen Set,Stationery,8.32,2,0.0,C13506,Credit Card
O2024000131,2024-03-26,East,Online,P1004,27-inch Monitor,Electronics,189.9,1,0.05,C19435,Pix
O2024000132,2024-03-09,East,Marketplace,P1007,Notebook Pack,Stationery,12.25,1,0.0,C12141,Bank Transfer
O2024000133,2024-08-25,East,Marketplace,P1008,Ballpoint Pen Set,Stationery,8.23,8,0.0,C16617,Credit Card
O2024000134,2024-12-06,East,Online,P1002,Mechanical Keyboard,Electronics,79.9,2,0.2,C17421,Credit Card
O2024000135,2024-08-09,North,Wholesale,P1004,27-inch Monitor,Electronics,172.62,3,0.2,C15881,Credit Card
O2024000136,2024-01-10,Central,Online,P1003,USB-C Cable,Electronics,9.6,6,0.05,C12849,Credit Card
O2024000137,2024-06-28,Central,Wholesale,P1008,Ballpoint Pen Set,Stationery,7.33,2,0.15,C16905,Pix
O2024000138,2024-05-26,East,Online,P1010,Backpack,Lifestyle,45.0,2,0.15,C19207,Credit Card
O2024000139,2024-11-20,South,Wholesale,P1002,Mechanical Keyboard,Electronics,74.07,3,0.1,C12839,Credit Card
O2024000140,2024-12-01,East,Store,P1015,Laptop Stand,Home Office,30.5,3,0.05,C19087,Bank Transfer
O2024000141,2024-06-08,South,Online,P1012,Webcam,Electronics,41.1,6,0.2,C11687,Debit Card
O2024000142,2024-06-26,North,Store,P1005,Desk Lamp,Home Office,35.95,3,0.2,C19760,Credit Card
O2024000143,2024-06-27,Central,Marketplace,P1006,Ergonomic Chair,Home Office,237.55,4,0.1,C15387,Bank Transfer
O2024000144,2024-11-18,East,Online,P1011,Bluetooth Speaker,Electronics,59.9,4,0.0,C13913,Credit Card
O2024000145,2024-02-12,West,Marketplace,P1002,,Electronics,77.52,1,0.05,C14107,Pix
O2024000146,2024-04-04,West,Store,P1007,Notebook Pack,Stationery,12.62,2,0.0,C18945,Pix
O2024000147,2024-02-04,Central,Marketplace,P1009,Water Bottle,Lifestyle,15.11,2,0.2,C18967,Bank Transfer
O2024000148,2024-04-02,West,Store,P1012,Webcam,Electronics,40.29,5,0.1,C19817,Pix
O2024000149,2024-04-24,East,Marketplace,P1014,Planner 2024,Stationery,14.6,1,0.0,C13267,Pix
O2024000150,2024-11-09,West,Online,P1008,Ballpoint Pen Set,Stationery,8.32,3,0.1,C19708,Bank Transfer
O2024000151,2024-03-15,East,Online,P1014,Planner 2024,Stationery,14.9,5,0.0,C17587,Debit Card
O2024000152,2024-08-04,West,Online,P1013,Coffee Mug,Lifestyle,11.78,4,0.0,C18867,Pix
O2024000153,2024-12-22,East,Marketplace,P1012,Webcam,Electronics,39.1,4,0.0,C12786,Credit Card
O2024000154,2024-06-25,Central,Wholesale,P1002,Mechanical Keyboard,Electronics,69.75,4,0.0,C11571,Bank Transfer
O2024000155,2024-04-05,West,Store,P1004,27-inch Monitor,Electronics,191.76,2,0.15,C17357,Bank Transfer
O2024000156,2024-08-11,West,Store,P1001,Wireless Mouse,Electronics,26.15,5,0.0,C13440,Pix
O2024000157,2024-07-01,South,Store,P1004,27-inch Monitor,Electronics,199.51,4,0.0,C12914,Pix
O2024000158,2024-12-26,West,Store,P1006,Ergonomic Chair,Home Office,252.35,2,0.05,C18787,Pix
O2024000159,2024-08-04,East,Store,P1005,Desk Lamp,Home Office,35.6,2,0.0,C10698,Pix
O2024000160,2024-01-19,South,Online,P1004,27-inch Monitor,Electronics,195.6,2,0.0,C10395,Credit Card
O2024000161,2024-08-20,Central,Wholesale,P1012,Webcam,Electronics,34.83,5,0.0,C14360,Debit Card
O2024000162,2024-10-10,South,Store,P1005,Desk Lamp,Home Office,36.67,8,0.15,C14946,Pix
O2024000163,2024-05-23,North,Marketplace,P1005,Desk Lamp,Home Office,34.54,2,0.0,C17266,Pix
O2024000164,2024-01-25,South,Online,P1012,Webcam,Electronics,41.1,2,0.1,C15588,Debit Card
O2024000165,2024-02-22,East,Online,P1001,Wireless Mouse,Electronics,25.9,4,0.1,C11062,Pix
O2024000166,2024-04-18,South,Store,P1013,Coffee Mug,Lifestyle,12.5,6,0.05,C15305,Credit Card
O2024000167,2024-08-10,North,Store,P1008,Ballpoint Pen Set,Stationery,8.65,1,0.05,C17330,Bank Transfer
O2024000168,2024-08-02,East,Online,P1001,Wireless Mouse,Electronics,25.9,2,0.0,C18010,Bank Transfer
O2024000169,2024-05-25,North,Marketplace,P1007,Notebook Pack,Stationery,12.37,8,0.05,C17241,Credit Card
O2024000170,2024-09-09,Central,Store,P1001,Wireless Mouse,Electronics,25.63,5,0.0,C15293,Debit Card
O2024000171,2024-05-20,Central,Wholesale,P1002,Mechanical Keyboard,Electronics,69.75,1,0.0,C16938,Credit Card
O2024000172,2024-05-01,Central,Marketplace,P1010,Backpack,Lifestyle,42.78,1,0.1,C16172,Debit Card
O2024000173,2024-06-13,Central,Online,P1015,Laptop Stand,Home Office,29.0,1,0.05,C19580,Pix
O2024000174,2024-11-16,Central,Wholesale,P1005,Desk Lamp,Home Office,30.47,5,0.1,C19872,Credit Card
O2024000175,2024-11-22,Central,Wholesale,P1002,Mechanical Keyboard,Electronics,69.75,10,0.2,C19347,Debit Card
O2024000176,2024-10-18,South,Online,P1002,Mechanical Keyboard,Electronics,82.3,2,0.0,C13486,Debit Card
O2024000177,2024-10-01,South,Store,P1003,USB-C Cable,Electronics,10.4,4,0.0,C15301,Bank Transfer
O2024000178,2024-06-15,West,Store,P1008,Ballpoint Pen Set,Stationery,8.48,2,0.0,C15977,Credit Card
O2024000179,2024-01-19,South,Online,P1005,Desk Lamp,Home Office,35.95,1,0.15,C14268,Bank Transfer
O2024000180,2024-05-20,North,Store,P1015,Laptop Stand,Home Office,30.8,2,0.0,C13709,Debit Card
O2024000181,2024-02-27,West,Online,P1004,27-inch Monitor,Electronics,188.0,4,0.15,C18647,Debit Card
O2024000182,2024-11-12,East,Marketplace,P1002,Mechanical Keyboard,Electronics,78.3,4,0.0,C13072,Debit Card
O2024000183,2024-12-13,East,Store,P1014,Planner 2024,Stationery,15.2,8,0.1,C11214,Pix
O2024000184,2024-11-07,West,Online,P1012,Webcam,Electronics,39.5,2,0.0,C10133,Bank Transfer
O2024000185,2024-02-27,East,Store,P1008,Ballpoint Pen Set,Stationery,8.57,1,0.05,C16316,Credit Card
O2024000186,2024-11-12,Central,Online,P1007,Notebook Pack,Stationery,12.12,2,0.15,C14175,Pix
O2024000187,2024-07-31,Central,Online,P1002,Mechanical Keyboard,Electronics,77.5,10,0.0,C15348,Credit Card
O2024000188,2024-06-12,East,Store,P1013,Coffee Mug,Lifestyle,12.14,2,0.2,C16190,Debit Card
O2024000189,2024-08-20,West,Store,P1008,Ballpoint Pen Set,Stationery,8.48,1,0.0,C13486,Debit Card
O2024000190,2024-01-01,Central,Store,P1014,Planner 2024,Stationery,14.74,3,0.05,C18053,Credit Card
O2024000191,2024-09-15,West,Online,P1006,Ergonomic Chair,Home Office,247.4,6,0.0,C18120,Credit Card
O2024000192,2024-01-12,South,Online,P1012,Webcam,Electronics,41.1,8,0.05,C15063,Pix
O2024000193,2024-12-23,West,Marketplace,P1009,Water Bottle,Lifestyle,15.43,2,0.0,C10667,Bank Transfer
O2024000194,2024-01-08,North,Online,P1006,Ergonomic Chair,Home Office,252.4,1,0.0,C16819,Bank Transfer
O2024000195,2024-03-30,Central,Marketplace,P1001,Wireless Mouse,Electronics,24.62,2,0.15,C17483,Bank Transfer
O2024000196,2024-06-26,West,Online,P1009,Water Bottle,Lifestyle,15.74,1,0.0,C14964,Bank Transfer
O2024000197,2024-02-10,West,Marketplace,P1004,27-inch Monitor,Electronics,184.24,1,0.0,C16042,Debit Card
O2024000198,2024-05-24,East,Store,P1012,Webcam,Electronics,40.7,1,0.05,C16132,Credit Card
O2024000199,2024-07-30,North,Wholesale,P1010,Backpack,Lifestyle,40.91,3,0.2,C10924,Debit Card
O2024000200,2024-02-15,South,Online,P1001,Wireless Mouse,Electronics,26.68,1,0.1,C15713,Bank Transfer
O2024000201,2024-09-12,North,Online,P1014,Planner 2024,Stationery,15.05,3,0.0,C10009,Bank Transfer
O2024000202,2024-11-07,North,Store,P1003,USB-C Cable,Electronics,10.2,5,0.05,C17418,Pix
O2024000203,2024-12-30,Central,Store,P1007,Notebook Pack,Stationery,12.37,1,0.2,C11015,Bank Transfer
O2024000204,2024-10-15,West,Online,P1009,Water Bottle,Lifestyle,15.74,4,0.0,C12193,Bank Transfer
O2024000205,2024-08-11,South,Wholesale,P1009,Water Bottle,Lifestyle,14.74,10,0.15,C17449,Debit Card
O2024000206,2024-03-03,North,Online,P1013,Coffee Mug,Lifestyle,12.02,2,0.2,C16970,Bank Transfer
O2024000207,2024-10-09,East,Wholesale,P1009,Water Bottle,Lifestyle,14.31,2,0.0,C14000,Credit Card
O2024000208,2024-04-07,East,Store,P1014,Planner 2024,Stationery,15.2,1,0.1,C18702,Bank Transfer
O2024000209,2024-11-06,South,Store,P1008,Ballpoint Pen Set,Stationery,8.83,5,0.0,C12000,Pix
O2024000210,2024-07-15,Central,Marketplace,P1007,Notebook Pack,Stationery,11.88,10,0.05,C15989,Pix
O2024000211,2024-09-15,South,Wholesale,P1004,27-inch Monitor,Electronics,176.04,2,0.1,C17140,Bank Transfer
O2024000212,2024-02-22,South,Marketplace,P1007,Notebook Pack,Stationery,12.62,6,0.0,C14178,Pix
O2024000213,2024-05-24,West,Store,P1013,Coffee Mug,Lifestyle,12.02,1,0.05,C16600,Bank Transfer
O2024000214,2024-12-31,South,Store,P1001,Wireless Mouse,Electronics,27.21,1,0.0,C14780,Pix
O2024000215,2024-07-23,North,Marketplace,P1008,Ballpoint Pen Set,Stationery,8.31,1,0.0,C14544,Bank Transfer
O2024000216,2024-10-14,North,Store,P1007,Notebook Pack,Stationery,12.88,1,0.2,C17239,Debit Card
O2024000217,2024-02-08,North,Store,P1005,Desk Lamp,Home Office,35.95,3,0.0,C18865,Bank Transfer
O2024000218,2024-04-27,North,Marketplace,P1014,Planner 2024,Stationery,14.75,5,0.15,C14363,Bank Transfer
O2024000219,2024-02-23,East,Store,P1015,Laptop Stand,Home Office,30.5,8,0.2,C17901,Bank Transfer
O2024000220,2024-09-07,Central,Online,P1002,Mechanical Keyboard,Electronics,77.5,2,0.0,C14719,Pix
O2024000221,2024-09-11,South,Store,P1007,Notebook Pack,Stationery,13.13,1,0.0,C11252,Credit Card
O2024000222,2024-12-06,West,Online,P1005,Desk Lamp,Home Office,34.55,3,0.0,C14530,Credit Card
O2024000223,2024-04-12,East,Marketplace,P1005,Desk Lamp,Home Office,34.2,1,0.0,C16881,Pix
O2024000224,2024-10-20,West,Online,P1009,Water Bottle,Lifestyle,15.74,3,0.05,C18017,Debit Card
O2024000225,2024-10-12,South,Online,P1010,Backpack,Lifestyle,46.35,2,0.2,C11331,Bank Transfer
O2024000226,2024-09-05,Central,Store,P1008,Ballpoint Pen Set,Stationery,8.31,2,0.1,C19550,Debit Card
O2024000227,2024-01-30,South,Store,P1005,Desk Lamp,Home Office,36.67,3,0.05,C17730,Pix
O2024000228,2024-03-21,North,Marketplace,P1008,Ballpoint Pen Set,Stationery,8.31,6,0.0,C17043,Debit Card
O2024000229,2024-05-17,North,Store,P1006,Ergonomic Chair,Home Office,257.45,6,0.1,C15449,Pix
O2024000230,2024-09-29,West,Store,P1008,Ballpoint Pen Set,Stationery,8.48,1,0.2,C14164,Pix
O2024000231,2024-02-03,South,Wholesale,P1014,Planner 2024,Stationery,13.81,3,0.05,C15569,Credit Card
O2024000232,2024-07-23,South,Online,P1006,Ergonomic Chair,Home Office,257.4,1,0.1,C11906,Pix
O2024000233,2024-04-20,East,Online,P1014,Planner 2024,Stationery,14.9,1,0.15,C17350,Bank Transfer
O2024000234,2024-12-01,East,Online,P1014,Planner 2024,Stationery,14.9,1,0.15,C16031,Credit Card
O2024000235,2024-01-08,Central,Store,P1014,Planner 2024,Stationery,14.74,1,0.0,C19911,Debit Card
O2024000236,2024-10-07,Central,Marketplace,P1004,27-inch Monitor,Electronics,180.52,5,0.15,C13266,Debit Card
O2024000237,2024-06-03,Central,Online,P1013,Coffee Mug,Lifestyle,11.54,3,0.15,C16777,Debit Card
O2024000238,2024-02-20,North,Wholesale,P1011,Bluetooth Speaker,Electronics,54.45,1,0.0,C15124,Pix
O2024000239,2024-04-01,West,Online,P1006,Ergonomic Chair,Home Office,247.4,2,0.15,C16677,Debit Card
O2024000240,2024-11-21,North,Wholesale,P1006,Ergonomic Chair,Home Office,227.16,1,0.15,C16376,Bank Transfer
O2024000241,2024-01-12,South,Online,P1013,Coffee Mug,Lifestyle,12.26,1,0.1,C12593,Pix
O2024000242,2024-03-18,Central,Store,P1005,Desk Lamp,Home Office,34.53,2,0.2,C17240,Debit Card
O2024000243,2024-10-08,East,Wholesale,P1008,Ballpoint Pen Set,Stationery,7.56,4,0.2,C15240,Pix
O2024000244,2024-08-01,East,Marketplace,P1008,Ballpoint Pen Set,Stationery,8.23,1,0.0,C16493,Debit Card
